,Carname,Carmodel,Price,Emifacility,Kmsdriven
47,2019 Maruti New  Wagon-R,VXI 1.2L Manual,"₹547,299","₹12,174/month","48,692 km2nd OwnerPetrol"
48,2016 Hyundai Elite i20,ASTA 1.4 CRDI Manual,"₹658,699","₹14,652/month","118,824 km1st OwnerDiesel"
49,2017 Hyundai Creta,1.6 CRDI SX PLUS AUTO Automatic,"₹1,169,099","₹26,006/month","79,936 km1st OwnerDiesel"
50,2017 Maruti IGNIS,ALPHA 1.2 K12 DUAL TONE Manual,"₹570,599","₹12,693/month","79,312 km1st OwnerPetrol"
51,2015 Hyundai Eon,MAGNA PLUS Manual,"₹314,399","₹6,994/month","68,345 km2nd OwnerPetrol"
52,2012 Toyota Fortuner,3.0 AT 4X2 Automatic,"₹1,508,199","₹33,549/month","158,977 km2nd OwnerDiesel"
53,2017 Maruti Swift,VDI OPT Manual,"₹623,099","₹13,860/month","68,276 km1st OwnerDiesel"
54,2018 Hyundai Verna,1.6 CRDI SX + AT Automatic,"₹1,030,299","₹22,918/month","83,119 km1st OwnerDiesel"
55,2015 Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹526,299","₹11,707/month","61,290 km2nd OwnerPetrol"
56,2018 Maruti Baleno,ZETA 1.2 K12 Manual,"₹637,699","₹14,185/month","69,895 km1st OwnerPetrol"
57,2015 Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹511,699","₹11,382/month","56,530 km1st OwnerPetrol"
58,2015 Hyundai Eon,MAGNA PLUS Manual,"₹328,799","₹7,314/month","38,789 km1st OwnerPetrol"
59,2015 Maruti Swift Dzire,VDI BS IV Manual,"₹538,799","₹11,985/month","97,519 km1st OwnerDiesel"
60,2012 Maruti Swift,ZDI Manual,"₹476,699","₹10,604/month","78,819 km2nd OwnerDiesel"
61,2016 Renault Kwid,1.0 RXT Manual,"₹333,899","₹7,427/month","20,445 km1st OwnerPetrol"
62,2018 Volkswagen Ameo,HIGHLINE PLUS 1.0 Manual,"₹621,899","₹13,834/month","65,235 km1st OwnerPetrol"
63,2017 Skoda Octavia,Style 1.4 TSI MT Manual,"₹1,305,499","₹29,040/month","47,264 km1st OwnerPetrol"
64,2016 Maruti Baleno,ZETA 1.2 K12 Manual,"₹621,899","₹13,834/month","103,354 km1st OwnerPetrol"
65,2015 Honda Jazz,1.2 V AT Automatic,"₹524,199","₹11,661/month","65,571 km2nd OwnerPetrol"
66,2018 Maruti IGNIS,ZETA 1.2 K12 Manual,"₹564,099","₹12,548/month","45,313 km1st OwnerPetrol"
67,2020 Hyundai VENUE,1.5 SX CRDI MT Manual,"₹1,042,799","₹23,196/month","40,139 km1st OwnerDiesel"
68,2020 Maruti Ciaz,ALPHA 1.5 AT VTVT SHVS ,"₹1,083,299","₹24,097/month","35,019 km1st OwnerPetrol"
69,2017 Maruti Swift,LXI Manual,"₹528,999","₹11,767/month","29,553 km2nd OwnerPetrol"
70,2018 Maruti IGNIS,SIGMA 1.2 K12 Manual,"₹421,799","₹9,383/month","55,088 km1st OwnerPetrol"
71,2017 Honda Jazz,VX  1.2 Manual,"₹586,399","₹13,044/month","75,366 km2nd OwnerPetrol"
72,2014 Maruti Swift,VXI Manual,"₹485,199","₹10,793/month","41,934 km1st OwnerPetrol"
73,2020 Ford Ecosport,1.5 TITANIUM PLUS TI VCT AT Automatic,"₹1,260,699","₹28,044/month","5,634 km1st OwnerPetrol"
74,2018 Renault Kwid,CLIMBER 1.0 Manual,"₹397,199","₹8,835/month","31,425 km1st OwnerPetrol"
75,2018 Renault Kwid,1.0 RXT Opt AT Automatic,"₹423,899","₹9,429/month","29,061 km1st OwnerPetrol"
76,2015 Maruti Alto K10,VXI Manual,"₹273,299","₹6,079/month","234,695 km1st OwnerPetrol"
77,2018 Maruti Vitara Brezza,VDI AMT Automatic,"₹800,499","₹17,807/month","81,477 km2nd OwnerDiesel"
78,2019 Maruti Alto,VXI Manual,"₹414,499","₹9,220/month","41,432 km1st OwnerPetrol"
79,2016 Maruti Wagon R 1.0,VXI Manual,"₹405,899","₹9,029/month","39,789 km1st OwnerPetrol"
80,2012 Maruti Swift,ZDI Manual,"₹476,699","₹10,604/month","78,819 km2nd OwnerDiesel"
81,2016 Renault Kwid,1.0 RXT Manual,"₹333,899","₹7,427/month","20,445 km1st OwnerPetrol"
82,2018 Volkswagen Ameo,HIGHLINE PLUS 1.0 Manual,"₹621,899","₹13,834/month","65,235 km1st OwnerPetrol"
83,2017 Skoda Octavia,Style 1.4 TSI MT Manual,"₹1,305,499","₹29,040/month","47,264 km1st OwnerPetrol"
84,2016 Maruti Baleno,ZETA 1.2 K12 Manual,"₹621,899","₹13,834/month","103,354 km1st OwnerPetrol"
85,2015 Honda Jazz,1.2 V AT Automatic,"₹524,199","₹11,661/month","65,571 km2nd OwnerPetrol"
86,2018 Maruti IGNIS,ZETA 1.2 K12 Manual,"₹564,099","₹12,548/month","45,313 km1st OwnerPetrol"
87,2020 Hyundai VENUE,1.5 SX CRDI MT Manual,"₹1,042,799","₹23,196/month","40,139 km1st OwnerDiesel"
88,2020 Maruti Ciaz,ALPHA 1.5 AT VTVT SHVS ,"₹1,083,299","₹24,097/month","35,019 km1st OwnerPetrol"
89,2017 Maruti Swift,LXI Manual,"₹528,999","₹11,767/month","29,553 km2nd OwnerPetrol"
90,2018 Maruti IGNIS,SIGMA 1.2 K12 Manual,"₹421,799","₹9,383/month","55,088 km1st OwnerPetrol"
91,2017 Honda Jazz,VX  1.2 Manual,"₹586,399","₹13,044/month","75,366 km2nd OwnerPetrol"
92,2014 Maruti Swift,VXI Manual,"₹485,199","₹10,793/month","41,934 km1st OwnerPetrol"
93,2020 Ford Ecosport,1.5 TITANIUM PLUS TI VCT AT Automatic,"₹1,260,699","₹28,044/month","5,634 km1st OwnerPetrol"
94,2018 Renault Kwid,CLIMBER 1.0 Manual,"₹397,199","₹8,835/month","31,425 km1st OwnerPetrol"
95,2018 Renault Kwid,1.0 RXT Opt AT Automatic,"₹423,899","₹9,429/month","29,061 km1st OwnerPetrol"
96,2015 Maruti Alto K10,VXI Manual,"₹273,299","₹6,079/month","234,695 km1st OwnerPetrol"
97,2018 Maruti Vitara Brezza,VDI AMT Automatic,"₹800,499","₹17,807/month","81,477 km2nd OwnerDiesel"
98,2019 Maruti Alto,VXI Manual,"₹414,499","₹9,220/month","41,432 km1st OwnerPetrol"
99,2016 Maruti Wagon R 1.0,VXI Manual,"₹405,899","₹9,029/month","39,789 km1st OwnerPetrol"
100,2012 Maruti Swift,ZDI Manual,"₹476,699","₹10,604/month","78,819 km2nd OwnerDiesel"
101,2016 Renault Kwid,1.0 RXT Manual,"₹333,899","₹7,427/month","20,445 km1st OwnerPetrol"
102,2018 Volkswagen Ameo,HIGHLINE PLUS 1.0 Manual,"₹621,899","₹13,834/month","65,235 km1st OwnerPetrol"
103,2017 Skoda Octavia,Style 1.4 TSI MT Manual,"₹1,305,499","₹29,040/month","47,264 km1st OwnerPetrol"
104,2016 Maruti Baleno,ZETA 1.2 K12 Manual,"₹621,899","₹13,834/month","103,354 km1st OwnerPetrol"
105,2015 Honda Jazz,1.2 V AT Automatic,"₹524,199","₹11,661/month","65,571 km2nd OwnerPetrol"
106,2018 Maruti IGNIS,ZETA 1.2 K12 Manual,"₹564,099","₹12,548/month","45,313 km1st OwnerPetrol"
107,2020 Hyundai VENUE,1.5 SX CRDI MT Manual,"₹1,042,799","₹23,196/month","40,139 km1st OwnerDiesel"
108,2020 Maruti Ciaz,ALPHA 1.5 AT VTVT SHVS ,"₹1,083,299","₹24,097/month","35,019 km1st OwnerPetrol"
109,2017 Maruti Swift,LXI Manual,"₹528,999","₹11,767/month","29,553 km2nd OwnerPetrol"
110,2018 Maruti IGNIS,SIGMA 1.2 K12 Manual,"₹421,799","₹9,383/month","55,088 km1st OwnerPetrol"
111,2017 Honda Jazz,VX  1.2 Manual,"₹586,399","₹13,044/month","75,366 km2nd OwnerPetrol"
112,2014 Maruti Swift,VXI Manual,"₹485,199","₹10,793/month","41,934 km1st OwnerPetrol"
113,2020 Ford Ecosport,1.5 TITANIUM PLUS TI VCT AT Automatic,"₹1,260,699","₹28,044/month","5,634 km1st OwnerPetrol"
114,2018 Renault Kwid,CLIMBER 1.0 Manual,"₹397,199","₹8,835/month","31,425 km1st OwnerPetrol"
115,2018 Renault Kwid,1.0 RXT Opt AT Automatic,"₹423,899","₹9,429/month","29,061 km1st OwnerPetrol"
116,2015 Maruti Alto K10,VXI Manual,"₹273,299","₹6,079/month","234,695 km1st OwnerPetrol"
117,2018 Maruti Vitara Brezza,VDI AMT Automatic,"₹800,499","₹17,807/month","81,477 km2nd OwnerDiesel"
118,2019 Maruti Alto,VXI Manual,"₹414,499","₹9,220/month","41,432 km1st OwnerPetrol"
